location,area_sqft,bedrooms,bathrooms,parking_spaces,house_age,floors,has_garden,has_pool,renovation_year,price
Uptown,1487.0,4.0,2.0,1,30.0,1,1,0,2002.0,328700.0
Midtown,2046.0,1.0,1.0,0,16.0,3,1,0,2022.0,363100.0
Rural,1149.0,5.0,1.0,1,46.0,2,0,0,2014.0,149000.0
Midtown,1468.0,6.0,5.0,1,8.0,1,1,0,,412000.0
Midtown,3137.0,6.0,2.0,1,9.0,1,0,0,,507600.0
Suburb,1600.0,5.0,5.0,2,7.0,2,0,0,,352200.0
Rural,940.0,5.0,1.0,1,20.0,3,1,0,2017.0,174900.0
Rural,1269.0,3.0,1.0,3,12.0,3,0,0,,167100.0
Rural,1843.0,5.0,3.0,0,49.0,2,1,0,2017.0,259800.0
Midtown,4858.0,4.0,3.0,2,4.0,3,0,0,,807700.0
Uptown,4229.0,6.0,5.0,0,5.0,3,1,0,2018.0,876900.0
Rural,4406.0,2.0,2.0,2,29.0,1,1,0,,489900.0
Midtown,2077.0,6.0,1.0,3,30.0,1,1,0,,452200.0
Suburb,4508.0,1.0,1.0,2,16.0,1,0,0,2012.0,489900.0
Uptown,3851.0,6.0,2.0,2,10.0,2,0,0,2006.0,831800.0
Suburb,2849.0,3.0,3.0,2,19.0,3,1,0,,417300.0
Uptown,4102.0,5.0,3.0,0,47.0,3,0,1,2011.0,831500.0
Midtown,1741.0,5.0,2.0,1,8.0,1,1,0,,445900.0
Downtown,1625.0,6.0,2.0,0,1.0,1,1,1,,503900.0
Uptown,3101.0,2.0,2.0,1,36.0,2,0,0,,497800.0
Suburb,1690.0,2.0,2.0,0,0.0,3,1,1,,317400.0
Midtown,4631.0,3.0,3.0,3,3.0,2,1,0,,814700.0
Uptown,4948.0,1.0,1.0,3,35.0,3,0,0,,817700.0
Downtown,572.0,6.0,2.0,2,24.0,2,0,1,2017.0,331700.0
Downtown,2414.0,5.0,2.0,3,2.0,1,1,0,,558200.0
Rural,2972.0,6.0,6.0,2,8.0,2,0,0,2013.0,372700.0
Rural,3546.0,3.0,2.0,1,21.0,2,1,0,,346100.0
Suburb,1207.0,4.0,2.0,3,22.0,1,0,1,,268800.0
Uptown,2304.0,4.0,1.0,1,11.0,3,1,0,,447500.0
Uptown,4213.0,3.0,2.0,0,9.0,3,0,0,2005.0,703400.0
Rural,3064.0,,1.0,1,33.0,1,1,0,2022.0,290400.0
Uptown,2975.0,3.0,2.0,0,42.0,2,1,0,2012.0,544500.0
Uptown,4110.0,5.0,3.0,1,9.0,2,0,0,,876100.0
Downtown,4755.0,,1.0,1,29.0,2,0,0,2020.0,857600.0
Rural,3323.0,,1.0,3,21.0,3,1,1,2008.0,447400.0
Midtown,2235.0,5.0,2.0,1,5.0,2,1,0,,477400.0
Rural,2085.0,3.0,2.0,3,49.0,3,0,0,,219300.0
Midtown,566.0,3.0,1.0,3,1.0,2,1,0,,206600.0
Downtown,3561.0,5.0,3.0,2,29.0,1,0,0,2015.0,775100.0
Suburb,2928.0,5.0,4.0,2,1.0,1,0,0,,446200.0
Uptown,4653.0,1.0,1.0,0,31.0,3,1,0,2023.0,693400.0
Downtown,841.0,,2.0,1,41.0,3,1,0,2015.0,241200.0
Uptown,3274.0,4.0,3.0,0,15.0,1,0,0,2013.0,614300.0
Suburb,3317.0,3.0,3.0,1,,1,1,0,,457500.0
Suburb,3161.0,3.0,2.0,2,0.0,2,0,0,2013.0,545900.0
Downtown,1732.0,5.0,4.0,2,7.0,1,1,0,,574100.0
Suburb,4374.0,3.0,,1,47.0,3,1,0,,568800.0
Midtown,2901.0,6.0,6.0,1,49.0,1,1,0,2011.0,554800.0
Suburb,1994.0,3.0,1.0,2,12.0,3,1,0,,400400.0
Uptown,4711.0,6.0,6.0,2,14.0,3,0,1,,972800.0
Uptown,1161.0,4.0,1.0,0,43.0,2,1,0,,240300.0
Uptown,4383.0,5.0,,2,7.0,2,1,0,,906400.0
Uptown,4119.0,3.0,3.0,1,9.0,2,0,0,,779600.0
Midtown,2368.0,6.0,3.0,0,45.0,2,1,1,,446200.0
Rural,2834.0,6.0,6.0,1,4.0,1,0,0,2021.0,394300.0
Downtown,3874.0,6.0,1.0,3,,2,1,1,,901000.0
Uptown,1516.0,2.0,1.0,0,18.0,1,0,0,2009.0,279700.0
Suburb,4906.0,1.0,1.0,1,46.0,2,0,1,,590100.0
Uptown,707.0,4.0,4.0,2,37.0,2,0,0,,301600.0
Suburb,3165.0,3.0,3.0,3,10.0,3,1,0,2023.0,504600.0
Suburb,2993.0,2.0,2.0,1,42.0,1,1,0,,391700.0
Uptown,1132.0,3.0,2.0,0,19.0,3,0,1,2007.0,264300.0
Midtown,,3.0,1.0,1,19.0,2,0,0,2016.0,476300.0
Suburb,3459.0,5.0,3.0,3,20.0,1,0,0,,501300.0
Suburb,3583.0,5.0,4.0,0,17.0,2,1,0,2000.0,506200.0
Uptown,2431.0,5.0,5.0,3,49.0,3,1,0,,581100.0
Suburb,4219.0,2.0,1.0,1,9.0,1,0,0,2006.0,531500.0
Suburb,3062.0,3.0,1.0,2,33.0,3,0,0,2014.0,418000.0
Uptown,,1.0,1.0,2,25.0,2,1,0,2017.0,396900.0
Uptown,736.0,4.0,2.0,1,29.0,2,0,1,,278800.0
Downtown,4943.0,5.0,2.0,1,8.0,2,0,0,,992500.0
Midtown,2040.0,5.0,,1,45.0,1,0,0,,331900.0
Midtown,4443.0,3.0,3.0,0,50.0,3,1,0,,691200.0
Suburb,863.0,3.0,2.0,3,30.0,3,1,1,,242000.0
Midtown,2868.0,2.0,2.0,3,41.0,2,1,0,2007.0,452300.0
Suburb,785.0,2.0,2.0,3,3.0,3,0,0,,198500.0
Downtown,648.0,5.0,2.0,1,5.0,1,1,1,2007.0,350700.0
Uptown,4537.0,3.0,1.0,3,13.0,2,0,0,2022.0,804800.0
Uptown,2266.0,1.0,1.0,1,3.0,2,1,0,2011.0,421700.0
Uptown,1512.0,4.0,2.0,0,25.0,2,1,0,,332500.0
Midtown,3331.0,3.0,2.0,2,46.0,1,1,1,,525900.0
Downtown,3007.0,3.0,3.0,1,47.0,2,0,0,2012.0,582800.0
Midtown,2023.0,6.0,1.0,1,38.0,2,0,0,2015.0,341100.0
Midtown,3285.0,2.0,1.0,2,16.0,2,1,0,2022.0,546100.0
Downtown,3056.0,4.0,2.0,2,18.0,2,1,0,2017.0,705500.0
Downtown,4225.0,5.0,3.0,0,50.0,3,0,1,,964200.0
Downtown,2101.0,3.0,3.0,3,48.0,2,1,0,2016.0,492400.0
Downtown,2908.0,,3.0,1,5.0,1,1,0,,737800.0
Uptown,840.0,3.0,1.0,3,28.0,2,1,1,2022.0,334400.0
Rural,3317.0,5.0,4.0,1,10.0,2,1,0,2004.0,399200.0
Rural,2996.0,4.0,2.0,0,15.0,3,0,0,2019.0,319500.0
Downtown,2225.0,2.0,1.0,2,29.0,2,0,1,2020.0,536400.0
Rural,2189.0,4.0,2.0,0,24.0,3,0,0,2009.0,230600.0
Rural,,6.0,5.0,2,39.0,1,1,0,,490900.0
Downtown,4906.0,1.0,1.0,3,10.0,3,0,0,,910200.0
Rural,761.0,2.0,1.0,3,6.0,2,1,0,2009.0,131500.0
Midtown,1942.0,4.0,4.0,0,25.0,1,0,1,,454800.0
Suburb,905.0,6.0,5.0,2,21.0,2,0,0,,267300.0
Suburb,2690.0,1.0,1.0,0,24.0,3,1,0,,388600.0
Downtown,4937.0,6.0,5.0,2,18.0,1,0,0,2018.0,1101100.0
Uptown,743.0,3.0,2.0,2,30.0,1,0,0,,195100.0
Downtown,4607.0,3.0,1.0,3,25.0,3,1,1,2005.0,933200.0
Uptown,1060.0,5.0,1.0,3,41.0,3,0,0,2012.0,265200.0
Suburb,4637.0,2.0,1.0,2,40.0,1,0,1,2008.0,539200.0
Downtown,3225.0,3.0,1.0,2,35.0,1,0,0,,659100.0
Midtown,1093.0,6.0,3.0,2,22.0,3,1,0,2017.0,359200.0
Rural,2326.0,2.0,1.0,3,46.0,2,1,0,2007.0,243400.0
Uptown,3729.0,3.0,1.0,3,12.0,1,1,1,2017.0,747700.0
Rural,3787.0,5.0,4.0,1,24.0,3,0,0,2022.0,413900.0
Rural,4573.0,4.0,3.0,2,1.0,2,0,0,2021.0,506900.0
Downtown,633.0,5.0,5.0,1,1.0,1,1,0,,461500.0
Rural,3638.0,1.0,1.0,2,15.0,1,1,0,2007.0,320700.0
Midtown,4419.0,3.0,2.0,3,8.0,3,0,0,,747300.0
Rural,572.0,,1.0,1,27.0,2,0,1,,102800.0
Downtown,4994.0,1.0,1.0,1,12.0,1,1,0,2023.0,862800.0
Midtown,4725.0,6.0,2.0,0,34.0,2,1,0,,816200.0
Suburb,3478.0,2.0,2.0,2,40.0,2,0,0,,447800.0
Rural,4861.0,6.0,4.0,3,12.0,1,0,0,2018.0,482800.0
Downtown,2485.0,3.0,1.0,0,30.0,2,0,0,2002.0,515500.0
Suburb,,1.0,1.0,0,20.0,1,0,0,,145800.0
Suburb,4759.0,4.0,4.0,2,31.0,2,1,0,2012.0,671800.0
Uptown,594.0,1.0,1.0,0,33.0,1,1,0,,124100.0
Midtown,1633.0,4.0,2.0,2,7.0,3,1,0,,429800.0
Rural,737.0,6.0,3.0,0,40.0,1,0,0,,115700.0
Downtown,3446.0,6.0,1.0,2,47.0,1,0,0,,766600.0
Uptown,3030.0,2.0,1.0,3,1.0,1,0,0,,620900.0
Midtown,2460.0,1.0,1.0,2,37.0,2,0,0,,370500.0
Uptown,1548.0,5.0,3.0,2,31.0,3,1,0,2014.0,444100.0
Midtown,3029.0,6.0,4.0,1,39.0,2,0,0,2012.0,534000.0
Midtown,3464.0,6.0,5.0,3,27.0,2,0,0,2020.0,612000.0
Rural,1463.0,2.0,,3,36.0,1,0,0,2012.0,125200.0
Midtown,1036.0,4.0,4.0,3,40.0,2,1,0,,316200.0
Uptown,4723.0,2.0,1.0,0,0.0,1,1,0,2014.0,883200.0
Midtown,4179.0,1.0,1.0,1,40.0,3,1,1,2021.0,633100.0
Rural,4687.0,3.0,2.0,3,9.0,2,0,0,,457100.0
Rural,,3.0,2.0,0,3.0,2,1,0,,445100.0
Uptown,1042.0,4.0,1.0,0,34.0,2,0,1,2013.0,253800.0
Suburb,1345.0,6.0,4.0,0,9.0,1,0,0,2009.0,295600.0
Suburb,4103.0,4.0,2.0,1,46.0,1,1,0,2016.0,481300.0
Midtown,3536.0,6.0,6.0,0,10.0,2,0,0,,737700.0
Downtown,2994.0,,3.0,1,13.0,2,1,0,,835500.0
Midtown,4985.0,3.0,2.0,2,37.0,3,0,0,2011.0,771200.0
Uptown,3219.0,4.0,2.0,0,11.0,3,1,0,2016.0,651800.0
Uptown,2384.0,2.0,2.0,3,44.0,3,1,0,,497900.0
Uptown,4638.0,6.0,5.0,0,16.0,3,1,0,,973400.0
Uptown,4849.0,5.0,1.0,2,15.0,3,1,0,2008.0,976200.0
Uptown,3701.0,5.0,5.0,2,34.0,1,1,0,2021.0,734500.0
Rural,3210.0,2.0,2.0,0,1.0,3,0,0,,324900.0
Suburb,,,1.0,2,10.0,3,1,0,,369100.0
Uptown,4350.0,1.0,1.0,1,40.0,2,1,0,2022.0,661900.0
Downtown,1189.0,6.0,4.0,1,2.0,1,0,0,2014.0,494800.0
Downtown,2450.0,2.0,1.0,0,28.0,3,1,0,,464900.0
Downtown,956.0,4.0,2.0,1,17.0,3,1,0,,288000.0
Downtown,2630.0,6.0,5.0,1,19.0,3,1,1,2010.0,785200.0
